calls time avg function
5999 1280.6 0.213 Creep.run
2419 538.7 0.223 Creep.travelTo
2221 460.0 0.207 Creep.move
2317 451.2 0.195 Creep.runRole
1301 263.0 0.202 Creep.harvest
7537 224.1 0.030 Room.find
2293 189.6 0.083 RoomPosition.findClosestByPath
2000 118.0 0.059 RoomPosition.findInRange
456 97.7 0.214 Creep.reserveController
401 90.4 0.225 Creep.upgradeController
148 31.6 0.213 Creep.repair
120 31.5 0.263 Creep.transfer
16058 30.9 0.002 RoomPosition.inRangeTo
101 24.2 0.240 Creep.build
205 21.7 0.106 RoomPosition.availableNeighbors
95 21.3 0.224 Room.creepSpawnRun
5005 17.8 0.004 RoomPosition.getRangeTo
1640 15.4 0.009 RoomPosition.isPassible
4193 13.4 0.003 RoomPosition.isNearTo
874 12.0 0.014 Creep.say
457 11.5 0.025 Room.linksRun
1444 10.2 0.007 RoomPosition.lookFor
38 9.6 0.253 Creep.withdraw
3592 9.0 0.003 RoomPosition.isEqualTo
3921 6.0 0.002 RoomPosition.toJSON
Avg: 23.30 Total: 2283.32 Ticks: 98


calls        time        avg        function                                                                                                  
    5767        1181.4        0.205        Creep.run
    2408        429.7        0.178        Creep.runRole
    1971        420.0        0.213        Creep.travelTo
    1818        377.5        0.208        Creep.move
    1289        275.7        0.214        Creep.harvest
    6492        197.6        0.030        Room.find
    2693        196.5        0.073        RoomPosition.findClosestByPath
    619        131.1        0.212        Creep.reserveController
    2046        110.5        0.054        RoomPosition.findInRange
    386        91.6        0.237        Creep.upgradeController
    146        31.1        0.213        Creep.repair
    117        29.8        0.254        Creep.transfer
    15256        28.1        0.002        RoomPosition.inRangeTo
    101        24.2        0.239        Creep.build
    94        15.7        0.167        Room.creepSpawnRun
    4424        12.1        0.003        RoomPosition.getRangeTo
    4162        11.4        0.003        RoomPosition.isNearTo
    443        11.4        0.026        Room.linksRun
    1356        10.8        0.008        RoomPosition.lookFor
    189        10.8        0.057        RoomPosition.availableNeighbors
    32        8.0        0.251        Creep.withdraw
    923        8.0        0.009        Creep.say
    3408        7.8        0.002        RoomPosition.isEqualTo
    3902        7.1        0.002        RoomPosition.toJSON
    1059        5.8        0.005        Room.lookForAt
    Avg: 20.60    Total: 2018.33    Ticks: 98
